doc,size,run,arm,gen0_total,best_total,best_gen,improvement,improved,gen0_acc,best_acc,parse_failed,elapsed_sec,backend,model,code_sha,question_set_sha
harness-engineering-concept+claude-code-workflow+claude-code-agent-teams+aipmo-1.5-design-judgments-2026-06+llm-judge-scoring-principles+reward-model-rl+alignment-rlhf-constitutional-ai,79677,0,control,0.319,0.951,2,0.632,True,0.333,1.0,False,544.7,claude,claude-haiku-4-5-20251001,0eaceb5,fd9851695a2ed95f
harness-engineering-concept+claude-code-workflow+claude-code-agent-teams+aipmo-1.5-design-judgments-2026-06+llm-judge-scoring-principles+reward-model-rl+alignment-rlhf-constitutional-ai,79677,0,evolve,0.965,0.985,2,0.02,True,1.0,1.0,False,909.6,claude,claude-haiku-4-5-20251001,0eaceb5,fd9851695a2ed95f
harness-engineering-concept+claude-code-workflow+claude-code-agent-teams+aipmo-1.5-design-judgments-2026-06+llm-judge-scoring-principles+reward-model-rl+alignment-rlhf-constitutional-ai,79677,0,evolve-informed,0.931,0.962,3,0.031,True,1.0,1.0,False,995.5,claude,claude-haiku-4-5-20251001,0eaceb5,fd9851695a2ed95f
harness-engineering-concept+claude-code-workflow+claude-code-agent-teams+aipmo-1.5-design-judgments-2026-06+llm-judge-scoring-principles+reward-model-rl+alignment-rlhf-constitutional-ai,79677,1,control,0.953,0.975,2,0.022,True,1.0,1.0,False,499.0,claude,claude-haiku-4-5-20251001,0eaceb5,fd9851695a2ed95f
harness-engineering-concept+claude-code-workflow+claude-code-agent-teams+aipmo-1.5-design-judgments-2026-06+llm-judge-scoring-principles+reward-model-rl+alignment-rlhf-constitutional-ai,79677,1,evolve,0.937,0.988,1,0.051,True,1.0,1.0,False,1149.3,claude,claude-haiku-4-5-20251001,0eaceb5,fd9851695a2ed95f
harness-engineering-concept+claude-code-workflow+claude-code-agent-teams+aipmo-1.5-design-judgments-2026-06+llm-judge-scoring-principles+reward-model-rl+alignment-rlhf-constitutional-ai,79677,1,evolve-informed,0.977,0.988,1,0.011,True,1.0,1.0,False,905.0,claude,claude-haiku-4-5-20251001,0eaceb5,fd9851695a2ed95f
karpathy-vibe-to-agentic+agentic-engineering-pillars+claude-code-basics+redis-be-ai-realtime-communication+llm-deterministic-post-gates+wikiskill-persistent-knowledge-skill-evolution+pii-model-design-session-2026-06,73737,0,control,0.943,0.943,0,0.0,False,1.0,1.0,False,946.7,claude,claude-haiku-4-5-20251001,0eaceb5,4312687daaceb5a9
karpathy-vibe-to-agentic+agentic-engineering-pillars+claude-code-basics+redis-be-ai-realtime-communication+llm-deterministic-post-gates+wikiskill-persistent-knowledge-skill-evolution+pii-model-design-session-2026-06,73737,0,evolve,0.618,0.635,2,0.017,True,0.667,0.667,False,1035.5,claude,claude-haiku-4-5-20251001,0eaceb5,4312687daaceb5a9
karpathy-vibe-to-agentic+agentic-engineering-pillars+claude-code-basics+redis-be-ai-realtime-communication+llm-deterministic-post-gates+wikiskill-persistent-knowledge-skill-evolution+pii-model-design-session-2026-06,73737,0,evolve-informed,0.304,0.875,3,0.571,True,0.333,1.0,False,1321.4,claude,claude-haiku-4-5-20251001,0eaceb5,4312687daaceb5a9
karpathy-vibe-to-agentic+agentic-engineering-pillars+claude-code-basics+redis-be-ai-realtime-communication+llm-deterministic-post-gates+wikiskill-persistent-knowledge-skill-evolution+pii-model-design-session-2026-06,73737,1,control,0.0,0.628,2,0.628,True,0.0,0.667,False,622.3,claude,claude-haiku-4-5-20251001,0eaceb5,4312687daaceb5a9
karpathy-vibe-to-agentic+agentic-engineering-pillars+claude-code-basics+redis-be-ai-realtime-communication+llm-deterministic-post-gates+wikiskill-persistent-knowledge-skill-evolution+pii-model-design-session-2026-06,73737,1,evolve,0.928,0.972,2,0.044,True,1.0,1.0,False,881.0,claude,claude-haiku-4-5-20251001,0eaceb5,4312687daaceb5a9
karpathy-vibe-to-agentic+agentic-engineering-pillars+claude-code-basics+redis-be-ai-realtime-communication+llm-deterministic-post-gates+wikiskill-persistent-knowledge-skill-evolution+pii-model-design-session-2026-06,73737,1,evolve-informed,0.927,0.927,0,0.0,False,1.0,1.0,False,974.4,claude,claude-haiku-4-5-20251001,0eaceb5,4312687daaceb5a9
agentic-engineering-5-concepts+claude-md-guide+transformer-architecture+event-rescoring-idempotency-cache+scoring-rag-reference-free-eval+self-evolving-persistent-history-effect+karpathy-llm-wiki-pattern,62170,0,control,0.617,0.961,1,0.344,True,0.667,1.0,False,660.7,claude,claude-haiku-4-5-20251001,0eaceb5,3383ce371d5af5fb
agentic-engineering-5-concepts+claude-md-guide+transformer-architecture+event-rescoring-idempotency-cache+scoring-rag-reference-free-eval+self-evolving-persistent-history-effect+karpathy-llm-wiki-pattern,62170,0,evolve,0.309,0.921,2,0.612,True,0.333,1.0,False,2987.1,claude,claude-haiku-4-5-20251001,0eaceb5,3383ce371d5af5fb
