doc,size,run,arm,gen0_total,best_total,best_gen,improvement,improved,gen0_acc,best_acc,parse_failed,elapsed_sec,backend,model,code_sha,question_set_sha
harness-engineering-concept+claude-code-workflow+claude-code-agent-teams+aipmo-1.5-design-judgments-2026-06+llm-judge-scoring-principles+reward-model-rl+alignment-rlhf-constitutional-ai,79677,0,control,0.389,0.762,1,0.373,True,0.4,0.8,False,601.3,claude,claude-haiku-4-5-20251001,67b36dc,d6aab75e7932a41f
harness-engineering-concept+claude-code-workflow+claude-code-agent-teams+aipmo-1.5-design-judgments-2026-06+llm-judge-scoring-principles+reward-model-rl+alignment-rlhf-constitutional-ai,79677,0,evolve,0.766,0.766,0,0.0,False,0.8,0.8,False,1033.9,claude,claude-haiku-4-5-20251001,67b36dc,d6aab75e7932a41f
harness-engineering-concept+claude-code-workflow+claude-code-agent-teams+aipmo-1.5-design-judgments-2026-06+llm-judge-scoring-principles+reward-model-rl+alignment-rlhf-constitutional-ai,79677,0,evolve-incremental,0.944,0.973,1,0.029,True,1.0,1.0,False,1384.8,claude,claude-haiku-4-5-20251001,67b36dc,d6aab75e7932a41f
harness-engineering-concept+claude-code-workflow+claude-code-agent-teams+aipmo-1.5-design-judgments-2026-06+llm-judge-scoring-principles+reward-model-rl+alignment-rlhf-constitutional-ai,79677,1,control,0.947,0.947,0,0.0,False,1.0,1.0,False,866.9,claude,claude-haiku-4-5-20251001,67b36dc,d6aab75e7932a41f
harness-engineering-concept+claude-code-workflow+claude-code-agent-teams+aipmo-1.5-design-judgments-2026-06+llm-judge-scoring-principles+reward-model-rl+alignment-rlhf-constitutional-ai,79677,1,evolve,0.56,0.928,3,0.368,True,0.6,1.0,False,1082.0,claude,claude-haiku-4-5-20251001,67b36dc,d6aab75e7932a41f
harness-engineering-concept+claude-code-workflow+claude-code-agent-teams+aipmo-1.5-design-judgments-2026-06+llm-judge-scoring-principles+reward-model-rl+alignment-rlhf-constitutional-ai,79677,1,evolve-incremental,0.941,0.947,2,0.006,True,1.0,1.0,False,954.2,claude,claude-haiku-4-5-20251001,67b36dc,d6aab75e7932a41f
karpathy-vibe-to-agentic+agentic-engineering-pillars+claude-code-basics+redis-be-ai-realtime-communication+llm-deterministic-post-gates+wikiskill-persistent-knowledge-skill-evolution+pii-model-design-session-2026-06,73737,0,control,0.574,0.944,2,0.37,True,0.6,1.0,False,745.8,claude,claude-haiku-4-5-20251001,67b36dc,7221d4210404a4e3
karpathy-vibe-to-agentic+agentic-engineering-pillars+claude-code-basics+redis-be-ai-realtime-communication+llm-deterministic-post-gates+wikiskill-persistent-knowledge-skill-evolution+pii-model-design-session-2026-06,73737,0,evolve,0.765,0.765,0,0.0,False,0.8,0.8,False,767.1,claude,claude-haiku-4-5-20251001,67b36dc,7221d4210404a4e3
karpathy-vibe-to-agentic+agentic-engineering-pillars+claude-code-basics+redis-be-ai-realtime-communication+llm-deterministic-post-gates+wikiskill-persistent-knowledge-skill-evolution+pii-model-design-session-2026-06,73737,0,evolve-incremental,0.583,0.779,2,0.196,True,0.6,0.8,False,843.6,claude,claude-haiku-4-5-20251001,67b36dc,7221d4210404a4e3
karpathy-vibe-to-agentic+agentic-engineering-pillars+claude-code-basics+redis-be-ai-realtime-communication+llm-deterministic-post-gates+wikiskill-persistent-knowledge-skill-evolution+pii-model-design-session-2026-06,73737,1,control,0.771,0.771,0,0.0,False,0.8,0.8,False,897.4,claude,claude-haiku-4-5-20251001,67b36dc,7221d4210404a4e3
karpathy-vibe-to-agentic+agentic-engineering-pillars+claude-code-basics+redis-be-ai-realtime-communication+llm-deterministic-post-gates+wikiskill-persistent-knowledge-skill-evolution+pii-model-design-session-2026-06,73737,1,evolve,0.951,0.951,0,0.0,False,1.0,1.0,False,901.0,claude,claude-haiku-4-5-20251001,67b36dc,7221d4210404a4e3
karpathy-vibe-to-agentic+agentic-engineering-pillars+claude-code-basics+redis-be-ai-realtime-communication+llm-deterministic-post-gates+wikiskill-persistent-knowledge-skill-evolution+pii-model-design-session-2026-06,73737,1,evolve-incremental,0.915,0.955,3,0.04,True,1.0,1.0,False,907.6,claude,claude-haiku-4-5-20251001,67b36dc,7221d4210404a4e3
agentic-engineering-5-concepts+claude-md-guide+transformer-architecture+event-rescoring-idempotency-cache+scoring-rag-reference-free-eval+self-evolving-persistent-history-effect+karpathy-llm-wiki-pattern,62170,0,control,0.551,0.966,3,0.415,True,0.6,1.0,False,660.9,claude,claude-haiku-4-5-20251001,67b36dc,5bf8b204dad6488a
